Molen;Datum;Totale productie (kWh);Per winddeel (kWh);9 Winddelen (kWh)
De Witte Juffer;2017-10-13;8924;1,56;14,039
De Witte Juffer;2017-10-12;15623;2,731;24,577
De Witte Juffer;2017-10-11;16827;2,941;26,471
De Witte Juffer;2017-10-10;10995;1,922;17,297
De Witte Juffer;2017-10-09;2833;0,495;4,457
De Witte Juffer;2017-10-08;1624;0,284;2,555
De Witte Juffer;2017-10-07;15889;2,777;24,996
De Witte Juffer;2017-10-06;10190;1,781;16,03
De Witte Juffer;2017-10-05;27522;4,811;43,296
De Witte Juffer;2017-10-04;16872;2,949;26,542
De Witte Juffer;2017-10-03;7434;1,299;11,695
De Witte Juffer;2017-10-02;25421;4,443;39,991
De Witte Juffer;2017-10-01;13401;2,342;21,082
De Witte Juffer;2017-09-30;1816;0,317;2,857
De Witte Juffer;2017-09-29;4395;0,768;6,914
De Witte Juffer;2017-09-28;2970;0,519;4,672
De Witte Juffer;2017-09-27;2536;0,443;3,99
De Witte Juffer;2017-09-26;989;0,173;1,556
De Witte Juffer;2017-09-25;1998;0,349;3,143
De Witte Juffer;2017-09-24;1216;0,213;1,913
De Witte Juffer;2017-09-23;-71;-0,012;-0,112
De Witte Juffer;2017-09-22;1652;0,289;2,599
De Witte Juffer;2017-09-21;4065;0,711;6,395
De Witte Juffer;2017-09-20;3390;0,593;5,333
De Witte Juffer;2017-09-19;1175;0,205;1,848
De Witte Juffer;2017-09-18;1786;0,312;2,81
De Witte Juffer;2017-09-17;152;0,027;0,239
De Witte Juffer;2017-09-16;730;0,128;1,148
De Witte Juffer;2017-09-15;5360;0,937;8,432
De Witte Juffer;2017-09-14;16905;2,955;26,594
De Witte Juffer;2017-09-13;35182;6,15;55,347
De Witte Juffer;2017-09-12;16016;2,8;25,196
De Witte Juffer;2017-09-11;28689;5,015;45,132
De Witte Juffer;2017-09-10;17431;3,047;27,422
De Witte Juffer;2017-09-09;2998;0,524;4,716
De Witte Juffer;2017-09-08;19587;3,424;30,813
De Witte Juffer;2017-09-07;5355;0,936;8,424
De Witte Juffer;2017-09-06;10597;1,852;16,671
De Witte Juffer;2017-09-05;2422;0,423;3,81
De Witte Juffer;2017-09-04;2001;0,35;3,148
De Witte Juffer;2017-09-03;-24;-0,004;-0,038
De Witte Juffer;2017-09-02;914;0,16;1,438
De Witte Juffer;2017-09-01;592;0,103;0,931
De Witte Juffer;2017-08-31;2428;0,424;3,82
De Witte Juffer;2017-08-30;4322;0,755;6,799
De Witte Juffer;2017-08-29;1532;0,268;2,41
De Witte Juffer;2017-08-28;-234;-0,041;-0,368
De Witte Juffer;2017-08-27;-27;-0,005;-0,042
De Witte Juffer;2017-08-26;1321;0,231;2,078
De Witte Juffer;2017-08-25;881;0,154;1,386
De Witte Juffer;2017-08-24;5787;1,012;9,104
De Witte Juffer;2017-08-23;3550;0,621;5,585
De Witte Juffer;2017-08-22;809;0,141;1,273
De Witte Juffer;2017-08-21;1876;0,328;2,951
De Witte Juffer;2017-08-20;6992;1,222;10,999
De Witte Juffer;2017-08-19;14698;2,569;23,122
De Witte Juffer;2017-08-18;8248;1,442;12,975
